eig1   eig2   A
(0.367208386627+0.387011747058j) (0.367208386627-0.387011747058j) 0.25742
(0.367977779261+0.386280268122j) (0.367977779261-0.386280268122j) 0.25743
(0.368747495184+0.385545556797j) (0.368747495184-0.385545556797j) 0.25744
(0.369517534387+0.384807592637j) (0.369517534387-0.384807592637j) 0.25745
(0.37028789686+0.384066354956j) (0.37028789686-0.384066354956j) 0.25746
(0.371058582595+0.383321822823j) (0.371058582595-0.383321822823j) 0.25747
(0.371829599074+0.38257396778j) (0.371829599074-0.38257396778j) 0.25748
(0.372600940586+0.381822773869j) (0.372600940586-0.381822773869j) 0.25749
(0.3733726046+0.38106822185j) (0.3733726046-0.38106822185j) 0.2575
(0.374144592362+0.380310288549j) (0.374144592362-0.380310288549j) 0.25751
(0.374916901825+0.379548953754j) (0.374916901825-0.379548953754j) 0.25752
(0.375689534117+0.378784193868j) (0.375689534117-0.378784193868j) 0.25753
(0.376462489297+0.378015986067j) (0.376462489297-0.378015986067j) 0.25754
(0.377235767417+0.377244307248j) (0.377235767417-0.377244307248j) 0.25755
(0.378009368514+0.376469134041j) (0.378009368514-0.376469134041j) 0.25756
(0.378783292627+0.37569044278j) (0.378783292627-0.37569044278j) 0.25757
(0.379557354764+0.374908396831j) (0.379557354764-0.374908396831j) 0.25758
(0.380331913356+0.37412260992j) (0.380331913356-0.37412260992j) 0.25759
(0.381106795139+0.373333232206j) (0.381106795139-0.373333232206j) 0.2576
(0.381881431054+0.372540822174j) (0.381881431054-0.372540822174j) 0.25761
(0.38265672547+0.371744431058j) (0.38265672547-0.371744431058j) 0.25762
(0.383432033071+0.370944696127j) (0.383432033071-0.370944696127j) 0.25763
(0.384208957009+0.370139931545j) (0.384208957009-0.370139931545j) 0.25764
(0.384985835236+0.369331826732j) (0.384985835236-0.369331826732j) 0.25765
(0.385762891184+0.36852012612j) (0.385762891184-0.36852012612j) 0.25766
(0.3865402609+0.367704661751j) (0.3865402609-0.367704661751j) 0.25767
(0.387318576144+0.366884739589j) (0.387318576144-0.366884739589j) 0.25768
(0.388096199088+0.366062060071j) (0.388096199088-0.366062060071j) 0.25769
(0.388873111069+0.365236628855j) (0.388873111069-0.365236628855j) 0.2577
(0.389651234664+0.364406376035j) (0.389651234664-0.364406376035j) 0.25771
(0.390429980796+0.363571893393j) (0.390429980796-0.363571893393j) 0.25772
(0.39121017248+0.362732260101j) (0.39121017248-0.362732260101j) 0.25773
(0.391988405675+0.361891118136j) (0.391988405675-0.361891118136j) 0.25774
(0.392769473915+0.36104325493j) (0.392769473915-0.36104325493j) 0.25775
(0.393548876615+0.360193521992j) (0.393548876615-0.360193521992j) 0.25776
(0.394329038413+0.359339256184j) (0.394329038413-0.359339256184j) 0.25777
