eig1   eig2   A
(-0.694841751755+0.225150876379j) (-0.694841751755-0.225150876379j) 0.20259
(-0.694983597654+0.224712652308j) (-0.694983597654-0.224712652308j) 0.2026
(-0.695125450071+0.224273462047j) (-0.695125450071-0.224273462047j) 0.20261
(-0.695267309006+0.223833299897j) (-0.695267309006-0.223833299897j) 0.20262
(-0.695409174458+0.223392160101j) (-0.695409174458-0.223392160101j) 0.20263
(-0.695551046428+0.222950036844j) (-0.695551046428-0.222950036844j) 0.20264
(-0.695692924915+0.222506924249j) (-0.695692924915-0.222506924249j) 0.20265
(-0.695834809919+0.222062816384j) (-0.695834809919-0.222062816384j) 0.20266
(-0.695976701441+0.221617707252j) (-0.695976701441-0.221617707252j) 0.20267
(-0.696118599479+0.221171590795j) (-0.696118599479-0.221171590795j) 0.20268
(-0.696260504035+0.220724460894j) (-0.696260504035-0.220724460894j) 0.20269
(-0.696402415107+0.220276311364j) (-0.696402415107-0.220276311364j) 0.2027
(-0.696544332697+0.219827135958j) (-0.696544332697-0.219827135958j) 0.20271
(-0.696686256803+0.219376928361j) (-0.696686256803-0.219376928361j) 0.20272
(-0.696828187426+0.218925682194j) (-0.696828187426-0.218925682194j) 0.20273
(-0.696970124566+0.218473391007j) (-0.696970124566-0.218473391007j) 0.20274
(-0.697112068222+0.218020048285j) (-0.697112068222-0.218020048285j) 0.20275
(-0.697254018395+0.217565647443j) (-0.697254018395-0.217565647443j) 0.20276
(-0.697395975085+0.217110181823j) (-0.697395975085-0.217110181823j) 0.20277
(-0.69753793829+0.216653644698j) (-0.69753793829-0.216653644698j) 0.20278
(-0.697679908013+0.216196029267j) (-0.697679908013-0.216196029267j) 0.20279
(-0.697821884251+0.215737328657j) (-0.697821884251-0.215737328657j) 0.2028
(-0.697963867006+0.215277535916j) (-0.697963867006-0.215277535916j) 0.20281
(-0.698105856276+0.21481664402j) (-0.698105856276-0.21481664402j) 0.20282
(-0.698247852063+0.214354645867j) (-0.698247852063-0.214354645867j) 0.20283
(-0.698389854366+0.213891534274j) (-0.698389854366-0.213891534274j) 0.20284
(-0.698531863185+0.213427301982j) (-0.698531863185-0.213427301982j) 0.20285
(-0.698673878519+0.212961941648j) (-0.698673878519-0.212961941648j) 0.20286
(-0.698815900369+0.212495445849j) (-0.698815900369-0.212495445849j) 0.20287
(-0.698957928735+0.212027807076j) (-0.698957928735-0.212027807076j) 0.20288
(-0.699099963617+0.211559017738j) (-0.699099963617-0.211559017738j) 0.20289
(-0.699242005014+0.211089070156j) (-0.699242005014-0.211089070156j) 0.2029
(-0.699384052927+0.210617956565j) (-0.699384052927-0.210617956565j) 0.20291
(-0.699526107355+0.210145669108j) (-0.699526107355-0.210145669108j) 0.20292
(-0.699668168298+0.209672199841j) (-0.699668168298-0.209672199841j) 0.20293
